2026-02-05 09:21:21.466 [background-preinit] INFO  [] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
2026-02-05 09:21:21.498 [main] INFO  [] com.zhishilu.ZhishiluApplication - Starting ZhishiluApplication using Java 17.0.15 on DESKTOP-02KK34E with PID 34948 (C:\lixiang\code\zhishilu\target\classes started by admin in C:\lixiang\code\zhishilu)
2026-02-05 09:21:21.500 [main] INFO  [] com.zhishilu.ZhishiluApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-05 09:21:21.906 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Elasticsearch repositories in DEFAULT mode.
2026-02-05 09:21:21.941 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 31 ms. Found 3 Elasticsearch repository interfaces.
2026-02-05 09:21:21.944 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Reactive Elasticsearch repositories in DEFAULT mode.
2026-02-05 09:21:21.947 [main] INFO  [] org.springframework.data.repository.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 2 ms. Found 0 Reactive Elasticsearch repository interfaces.
2026-02-05 09:21:22.025 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroBeanAutoConfiguration$$EnhancerBySpringCGLIB$$c24a8c65] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.061 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration' of type [org.apache.shiro.spring.boot.autoconfigure.ShiroAnnotationProcessorAutoConfiguration$$EnhancerBySpringCGLIB$$c4ddcb0a] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.071 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.zhishilu.config.ShiroConfig$$EnhancerBySpringCGLIB$$8cdc3000] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.080 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'jwtUtil' of type [com.zhishilu.util.JwtUtil] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.088 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#7102ac3e' of type [org.springframework.beans.factory.config.PropertiesFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.089 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#7102ac3e' of type [java.util.Properties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2026-02-05 09:21:22.089 [main] INFO  [] org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean '(inner bean)#2dbfcf7' of type [org.springframework.data.repository.core.support.PropertiesBasedNamedQueries] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
